id	x	y
1	0.006	-0.023
2	1.202	0.905
3	0.12	0.026
4	-2.862	-4.155
5	0.978	0.775
6	1.226	0.971
7	2.481	2.211
8	-0.195	-0.289
9	0.609	0.341
10	0.597	0.302
11	-0.798	-1.152
12	0.233	0.075
13	0.44	0.213
14	-0.166	-0.222
15	1.782	1.088
16	1.451	1.004
17	-1.196	-1.766
18	0.425	0.163
19	-2.183	-2.753
20	1.799	1.157
21	0.38	0.114
22	0.062	0.005
23	-0.666	-0.891
24	-0.533	-0.645
25	-0.151	-0.147
26	0.474	0.302
27	-0.02	-0.127
28	0.055	0.001
29	-0.406	-0.576
30	0.207	0.057
31	2.098	1.718
32	0.717	0.533
33	-1.655	-1.925
34	-0.419	-0.608
35	0.849	0.673
36	-1.059	-1.394
37	-0.368	-0.514
38	1.203	0.949
39	1.197	0.813
40	0.387	0.125
41	-0.37	-0.531
42	-0.185	-0.269
43	1.198	0.899
44	1.988	1.6
45	-1.797	-2.009
46	-0.877	-1.207
47	0.751	0.54
48	0.284	0.108
49	0.089	0.008
50	-0.2	-0.313
51	0.09	0.013
52	-0.284	-0.497
53	-0.719	-1.03
54	-0.699	-0.963
55	0.033	-0.004
56	-0.438	-0.609
57	-0.199	-0.31
58	2.199	2.079
59	-0.656	-0.794
60	0.8	0.556
61	-0.201	-0.323
62	0.908	0.713
63	0.712	0.424
64	0.858	0.709
65	-0.636	-0.656
66	-0.279	-0.495
67	-0.223	-0.366
68	0.436	0.185
69	-0.256	-0.449
70	-1.417	-1.772
71	-0.751	-1.039
72	0.819	0.607
73	-0.142	-0.14
74	2.114	1.82
75	-0.975	-1.365
76	0.984	0.779
77	-0.92	-1.238
78	0.46	0.245
79	1.548	1.04
80	-0.248	-0.42
81	-0.249	-0.437
82	0.256	0.091
83	-0.838	-1.156
84	0.611	0.418
85	-0.851	-1.159
86	1.628	1.064
87	-0.955	-1.32
88	1.855	1.366
89	0.14	0.037
90	0.419	0.154
91	0.301	0.108
92	-1.068	-1.736
93	2.124	1.896
94	1.457	1.018
95	-0.936	-1.303
96	-0.262	-0.462
97	1.896	1.484
98	-1.438	-1.811
99	-0.772	-1.11
100	1.526	1.027
