id	x	y
1	1.077	1
2	2.57	1
3	-0.005	0
4	-1.37	0
5	0.749	1
6	0.13	1
7	-1.347	0
8	1.599	1
9	0.597	1
10	0.205	1
11	1.244	1
12	-0.029	0
13	-0.417	0
14	-0.458	0
15	1.039	1
16	-1.846	0
17	0.085	1
18	0.229	1
19	-0.406	0
20	-0.408	0
21	2.133	1
22	-0.618	0
23	0.362	0
24	0.383	0
25	1.446	1
26	-1.418	0
27	0.737	1
28	0.806	1
29	-0.189	0
30	0.165	1
31	-0.879	0
32	-0.187	0
33	0.888	1
34	0.825	1
35	-1.214	0
36	0.081	1
37	-0.649	0
38	-1.304	0
39	0.498	1
40	-0.691	0
41	-1.369	0
42	1.662	1
43	1.073	1
44	-1.806	0
45	0.098	1
46	-1.235	0
47	0.615	1
48	1.272	1
49	-0.065	1
50	1.254	1
51	-0.482	0
52	-1.112	0
53	0.285	1
54	0.378	1
55	2.015	1
56	-0.55	0
57	-0.659	0
58	-0.125	1
59	-1.505	0
60	-0.211	0
61	0.786	1
62	0.417	1
63	-0.307	0
64	0.298	1
65	-0.936	0
66	0.675	1
67	-0.154	0
68	0.504	1
69	1.186	1
70	-0.011	0
71	0.739	1
72	1.154	1
73	0.107	1
74	1.23	1
75	1.495	1
76	-1.968	0
77	-1.471	0
78	-0.701	0
79	1.214	1
80	-0.88	0
81	0.872	1
82	-0.119	0
83	-0.267	1
84	0.178	1
85	-1.378	0
86	-0.502	0
87	1.283	1
88	1.37	1
89	-0.064	1
90	-1.184	0
91	-0.145	0
92	-1.078	0
93	1.179	1
94	0.306	0
95	-0.421	0
96	-2.043	0
97	0.024	1
98	0.202	1
99	-1.254	0
100	1.093	1
