id	x	y	z
1	0.461	0.238	0
2	0.857	0.652	0
3	0.571	1.425	1
4	0.774	1.575	1
5	-0.419	-0.454	0
6	0.152	0.076	0
7	-1.862	-2.171	0
8	-0.188	-0.206	0
9	0.47	0.293	0
10	-0.103	0.892	1
11	0.783	0.589	0
12	1.304	1.097	0
13	1.137	1.8860000000000001	1
14	-0.017	-0.027	0
15	0.402	0.229	0
16	0.774	0.515	0
17	-0.501	-0.723	0
18	1.508	1.247	0
19	1.263	1.017	0
20	0.301	1.145	1
21	-0.594	-0.911	0
22	-0.671	-0.02200000000000002	1
23	0.243	1.141	1
24	-0.422	-0.476	0
25	-1.661	-2.155	0
26	1.656	2.278	1
27	0.979	1.7850000000000001	1
28	-1.456	-0.8200000000000001	1
29	1.29	2.081	1
30	0.367	0.196	0
31	-0.471	0.28200000000000003	1
32	-0.835	-0.16900000000000004	1
33	1.662	1.341	0
34	2.502	3.07	1
35	-1.269	-0.41900000000000004	1
36	0.924	0.784	0
37	1.422	1.12	0
38	-0.436	-0.615	0
39	-0.551	-0.807	0
40	-0.77	-0.09699999999999998	1
41	0.143	0.066	0
42	1.785	1.388	0
43	-0.78	-0.1080000000000001	1
44	0.035	1.017	1
45	1.11	0.801	0
46	0.503	0.38	0
47	-0.458	0.374	1
48	-0.66	-0.946	0
49	0.302	0.153	0
50	-0.047	0.928	1
51	0.233	1.1179999999999999	1
52	0.14	1.053	1
53	-0.143	-0.178	0
54	0.478	1.328	1
55	0.363	1.196	1
56	-0.092	0.914	1
57	-0.427	0.46299999999999997	1
58	0.87	0.681	0
59	-0.345	-0.363	0
60	2.126	2.816	1
61	0.021	-0.004	0
62	0.892	0.747	0
63	1.692	1.345	0
64	1.861	1.734	0
65	-1.343	-0.5329999999999999	1
66	0.085	0.043	0
67	1.122	1.866	1
68	-0.848	-0.254	1
69	1.917	2.7439999999999998	1
70	-0.804	-0.1379999999999999	1
71	-0.615	0.05900000000000005	1
72	0.069	1.028	1
73	-0.363	0.594	1
74	2.009	2.7889999999999997	1
75	-1.342	-1.48	0
76	-0.874	-0.2749999999999999	1
77	-0.413	-0.447	0
78	0.488	0.354	0
79	1.245	1.9220000000000002	1
80	-0.687	-0.08200000000000007	1
81	0.708	0.484	0
82	-0.459	0.28700000000000003	1
83	0.863	1.665	1
84	0.598	1.443	1
85	-1.261	-0.387	1
86	-2.061	-1.42	1
87	0.713	1.504	1
88	-1.079	-0.29600000000000004	1
89	1.213	0.914	0
90	-0.247	0.761	1
91	-1.198	-0.3859999999999999	1
92	0.556	1.416	1
93	0.884	1.729	1
94	-0.266	0.723	1
95	0.903	1.778	1
96	-0.432	0.397	1
97	-0.124	-0.123	0
98	0.853	1.621	1
99	-0.303	-0.333	0
100	1.801	2.713	1
